Player_ID,Player_Name,Total_Runs,Balls_Faced,Strike_Rate,Batting_Average,Matches_Played,No_of_Fours,No_of_Sixes,Balls_Bowled,Runs_Conceded,Wickets_Taken,Matches_Bowled,Overs,Economy,Bowling_Average,Bowling_SR
90118.0,CH Gayle,193.0,160.0,120.625,17.545454545454547,10.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90119.0,CH Morris,67.0,53.0,126.41509433962264,13.4,7.0,2.0,5.0,262.0,396.0,17.0,11.0,43.666666666666664,9.068702290076336,23.294117647058822,15.411764705882353
90124.0,CJ Jordan,43.0,30.0,143.33333333333334,14.333333333333334,4.0,1.0,3.0,154.0,239.0,7.0,8.0,25.666666666666668,9.311688311688311,34.142857142857146,22.0
90131.0,CR Woakes,15.0,11.0,136.36363636363635,15.0,1.0,2.0,0.0,67.0,85.0,5.0,3.0,11.166666666666666,7.611940298507463,17.0,13.4
90133.0,CV Chakravarthy,14.0,22.0,63.63636363636363,14.0,5.0,2.0,0.0,661.0,794.0,26.0,28.0,110.16666666666667,7.207261724659606,30.53846153846154,25.423076923076923
90134.0,D Brevis,161.0,116.0,138.79310344827587,23.0,7.0,14.0,11.0,3.0,8.0,1.0,1.0,0.5,16.0,8.0,3.0
90137.0,D Padikkal,787.0,659.0,119.42336874051594,25.387096774193548,31.0,85.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90138.0,D Pretorius,44.0,28.0,157.14285714285714,11.0,5.0,3.0,3.0,138.0,213.0,7.0,6.0,23.0,9.26086956521739,30.428571428571427,19.714285714285715
90141.0,DA Miller,605.0,463.0,130.6695464362851,43.214285714285715,24.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90142.0,DA Warner,629.0,492.0,127.84552845528457,41.93333333333333,20.0,67.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90147.0,DG Nalkande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,59.0,2.0,2.0,5.5,10.727272727272727,29.5,16.5
90149.0,DJ Bravo,70.0,48.0,145.83333333333331,17.5,9.0,4.0,5.0,450.0,567.0,32.0,21.0,75.0,7.56,17.71875,14.0625
90151.0,DJ Hooda,611.0,465.0,131.3978494623656,26.565217391304348,25.0,45.0,27.0,120.0,179.0,3.0,9.0,20.0,8.95,59.666666666666664,40.0
90154.0,DJ Malan,26.0,26.0,100.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90155.0,DJ Mitchell,33.0,46.0,71.73913043478261,16.5,2.0,1.0,0.0,13.0,27.0,0.0,2.0,2.1666666666666665,12.461538461538462,0.0,0.0
90158.0,DJ Willey,18.0,32.0,56.25,6.0,2.0,3.0,0.0,66.0,75.0,1.0,4.0,11.0,6.818181818181818,75.0,66.0
90161.0,DL Chahar,1.0,1.0,100.0,1.0,1.0,0.0,0.0,339.0,453.0,16.0,15.0,56.5,8.017699115044248,28.3125,21.1875
90165.0,DP Conway,252.0,176.0,143.1818181818182,42.0,7.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90170.0,DR Sams,44.0,46.0,95.65217391304348,4.888888888888889,12.0,1.0,3.0,312.0,414.0,15.0,13.0,52.0,7.961538461538462,27.6,20.8
90173.0,DS Kulkarni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,48.0,0.0,1.0,4.333333333333333,11.076923076923078,0.0,0.0
90175.0,DT Christian,14.0,24.0,58.333333333333336,3.5,7.0,1.0,0.0,104.0,156.0,4.0,9.0,17.333333333333332,9.0,39.0,26.0
90178.0,E Lewis,224.0,156.0,143.5897435897436,28.0,10.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
